136192,1,山泽 SZW-1100 工程级超五类网线 10米 蓝色,21.75
179971,1,绿联 20210 USB转RS232 串口线转换器母头,55.00
155305,1,国产 5米2芯 单股纯铜电话线,11.70
148440,1,罗技 MK235 无线键鼠套装,106.10
287,1,TP-LINK TL-SF1008VE 8口百兆VLAN交换机,100.00
167000,1,索尼 PX470 4GB录音笔,499.00
171015,1,得力 DELI 3715 办公USB高精度光学有线鼠标 移动精准...,31.80
137790,1,希捷 BACKUP PLUS睿品升级版 2.5英寸 USB3.0...,419.00
148278,1,闪迪 SDSDUNB-016G-ZN3IN C10高速48M/S...,55.70
165005,1,罗技 经典K100 黑色 台式机键盘 PS/2,50.00
114513,1,罗技 K270 无线键盘,116.10
170644,1,秋叶原 Q-569 纯铜六类网线 3米,21.60
168237,1,得力 3930 可翻页激光笔 红光会议遥控笔,100.00
181628,1,联想 M100 有线USB鼠标 黑,29.00
192416,1,戴尔 KB-212 有线键盘 黑色,58.00
142298,1,吉选（Gesobyte) M900 USB有线鼠标 黑色 黑色,9.80
167919,1,罗技 LS1 鼠标 USB有线激光鼠标 黑色绿边,89.20
155175,1,金士顿 32GB CLASS10 32GB CLASS10 TF...,103.80
168552,1,希捷 1T 2.5英寸 USB3.0移动硬盘+硬盘包,550.00
163986,1,国产 10米 2芯 单股纯铜电话线,22.80
1078,1,华硕 SDRW-08U7M-U 兼容苹果MAC系统外置光驱DVD...,384.00
137189,1,罗技 C270 高清网络摄像头,153.00
175401,1,国产 5米 电话线,6.50
164764,1,安普 8-1375191-1 超五类信息模块 RJ45网络模块,28.50
170913,1,小米路由器3C智能wifi穿墙王无线家用高速四天线,98.01
192578,1,TP-LINK TL-EC600-2 六类非屏蔽网络跳线 2米 灰,29.00
152926,1,雷柏 M10 无线光学鼠标 黑,39.69
179301,1,安普 8-554720-3 原装超五类 8位非屏蔽 网络水晶头 ...,180.00
136284,1,罗技 MK270 无线键鼠套装 黑,110.60
168593,1,秋叶原 QF7600 无氧铜线 2芯电话线 200米/卷,96.00
137184,1,TP-LINK TL-WDN5200 11AC双频无线USB网卡,95.00
180884,1,品胜 季风 多合一读卡器,34.00
462,1,闪迪 SDSSDA-240G-Z25 加强版 240G 2.5寸...,703.00
193027,1,闪迪 A1 TF卡 64G 读速100MB/s 红金色,229.00
161832,1,西部数据 WD60EJRX硬盘 西数 6T 紫盘 6TB SA...,1492.00
170638,1,秋叶原 六类网线 Q-569 纯铜 六类屏蔽网线 1.5米,17.80
144429,1,闪迪（SanDisk）酷晶（CZ71）16GB U盘,42.47
180193,1,赛康 3米 usb打印机数据线 方口打印线 双屏蔽,25.50
175675,1,爱国者 L8202 64G 写保护功能 防病毒入侵 U盘,187.00
154634,1,LG 光驱 8倍速 USB2.0接口 外置DVD光驱刻录机 黑色...,199.00
166681,1,闪迪 CZ600 16g 高速USB3.0商务 u盘 替CZ80...,48.00
175994,1,金士顿 DTSE9G2 64GB U盘 USB3.0 金属银色...,197.00
144510,1,普联 TL-WR886N 450M无线路由器（宝蓝）,98.01
498,1,西部数据 WD10EZEX 蓝盘 1TB SATA6Gb/s 7...,403.70
140276,1,希捷（seagate）STEA2000400,553.41
152869,1,双飞燕 KB-8 USB接口 有线键盘,60.00
155280,1,金士顿 SD CLASS10 16G SD卡 16g内存卡 大卡...,58.00
165187,1,索尼 ICD-UX560F录音笔 录音棒,921.00
176060,1,诺为 N99C 激光投影笔 ppt翻页笔 多媒体教学遥控笔,119.00
179991,1,秋叶原 Q-601 2M HDMI数字高清线 2.0版,49.00
151344,1,金士顿（Kingston）DT100G3 32GB U盘（黑色）,68.71
144443,1,三星（SAMSUNG）64G 全金属五防 USB3.0 高速闪存...,138.50
137278,1,安普 6-219586-4 原装超五类网线 蓝箱 305M,659.00
179566,1,绿联 20122 DVI公转VGA 母转电脑转接头,20.00
179621,1,三星德乐 D3/1600 4G 台式机内存条 黑,251.00
140275,1,希捷（seagate）STEA1000400,365.31
168239,1,得力 3934 电子激光教鞭笔 可伸缩 红光（混色）,19.20
148378,1,国产 8口 集线器8口迅捷,63.70
154546,1,金士顿（Kingston）U盘 DTSE9 8GB,39.50
191201,1,JH晶华 六类通用网线跳线 蓝色3米 3米,7.82
114515,1,罗技 MK275 无线光电键鼠套装 鼠标键盘套装,117.00
169341,1,罗技 MK245 Nano 无线键鼠套装鼠标键盘套装（黑色）,119.00
161419,1,海康威视（HIKVISION）DS-2CD3T45-I5 400...,499.00
154548,1,金士顿（Kingston）U盘 DTSE9 32GB,89.00
195550,1,得胜 DA-237 窗口双向对讲机银行柜台医院车站邮局窗口专用扩...,350.00
270,1,金士顿 DT101G2-32G 旋转式U盘 紫,109.00
191203,1,JH晶华 六类通用网线跳线 蓝色2米 2米,6.83
